"adopt-country-france","France",""
"adopt-country-cameroun","Cameroun","Afrique"
"adopt-country-ivoire","Cote d'Ivoire","Afrique"
"adopt-country-congo","Congo","Afrique"
"adopt-country-ethiopie","Ethiopie","Afrique"
"adopt-country-guinee","Guinée","Afrique"
"adopt-country-rca","République Centre Afrique","Afrique"
"adopt-country-madagascar","Madagascar","Afrique"
"adopt-country-afrique","Autre pays d'Afrique","Afrique"
"adopt-country-haiti","Haïti","Amérique et Océanie"
"adopt-country-colombie","Colombie","Amérique et Océanie"
"adopt-country-amerique","Autre pays d'Amérique","Amérique et Océanie"
"adopt-country-bulgarie","Bulgarie","Europe"
"adopt-country-lettonie","Lettonie","Europe"
"adopt-country-russie","Russie","Europe"
"adopt-country-ukraine","Ukraine","Europe"
"adopt-country-europe","Autre pays d'Europe","Europe"
"adopt-country-chine","Chine","Asie"
"adopt-country-philippines","Philippines","Asie"
"adopt-country-thailande","Thaïlande","Asie"
"adopt-country-vietnam","Vietnam","Asie"
"adopt-country-asie","Autre pays d'Asie","Asie"
